Year,Country   ,Region,Song language,Artist   ,Song   ,English translation ,Artist gender,Group/Solo,Place,Points,Host Country,Host region,Home/Away Country,Home/Away Region,Approximate Betting Prices,Albania ,Andorra ,Armenia ,Austria,Azerbaijan ,Belarus ,Belgium ,Bosnia and Herzegovina ,Bulgaria ,Croatia ,Cyprus ,Czech Republic ,Denmark ,Estonia ,Finland ,France ,Georgia,Germany ,Greece ,Hungary ,Iceland ,Ireland ,Israel ,Latvia ,Lithuania ,Macedonia ,Malta ,Moldova ,Monaco,Montenegro ,Netherlands ,Norway ,Poland ,Portugal ,Romania ,Russia ,San Marino,Serbia ,Serbia & Montenegro,Slovakia ,Slovenia ,Spain ,Sweden ,Switzerland ,Turkey ,Ukraine ,United Kingdom ,,,,,,,,,,,,
2009,Lithuania,Former Socialist Bloc,"English, Russian ",Sasha Son ,"""Love"" ",? ,Male,Solo,23,23,Russia,Former Socialist Bloc,Away,Home,270,0,0,0,,1,0,0,0,1,0,0,0,1,2,0,0,,0,0,0,0,7,0,7,,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,4,,,,,,,,,,,,
2009,Israel,Independent,"English, Hebrew, Arabic ",Noa and Mira Awad ,"""There Must Be Another Way"" ",? ,Female,Group,16,53,Russia,Former Socialist Bloc,Away,Away,236,0,7,0,,0,0,8,8,0,0,0,4,0,5,0,10,,0,0,0,0,0,,0,0,0,0,0,,4,0,0,0,0,0,0,,0,,5,0,0,0,1,0,1,0,,,,,,,,,,,,
2009,France,Western Europe,French ,Patricia Kaas ,"""Et s'il fallait le faire"" ",And if it had to be done ,Female,Solo,8,107,Russia,Former Socialist Bloc,Away,Away,36,2,3,6,,0,7,1,6,0,0,0,0,2,0,4,,,3,6,0,6,3,5,5,6,0,0,0,,1,6,1,0,0,0,10,,3,,0,7,3,0,7,0,3,1,,,,,,,,,,,,
2009,Sweden,Scandinavia,"English, French ",Malena Ernman ,"""La voix"" ",The voice ,Female,Solo,21,33,Russia,Former Socialist Bloc,Away,Away,63,1,2,0,,0,0,0,0,0,0,0,0,4,6,7,2,,0,0,0,3,0,0,0,0,0,4,0,,0,0,4,0,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,,,,,,
2009,Croatia,Former Yugoslavia,Croatian ,Igor Cukrov feat. Andrea ,"""Lijepa Tena"" ",Beautiful Tena ,Both,Group,18,45,Russia,Former Socialist Bloc,Away,Away,607,0,0,0,,5,0,0,12,0,,0,0,0,0,0,0,,0,2,0,1,0,0,0,0,4,0,2,,8,0,0,0,0,0,0,,5,,0,6,0,0,0,0,0,0,,,,,,,,,,,,
2009,Portugal,Western Europe,Portuguese ,Flor-de-Lis ,"""Todas as ruas do amor"" ",All the streets of love ,Both,Group,15,57,Russia,Former Socialist Bloc,Away,Away,197,0,6,0,,0,0,6,1,0,0,0,7,0,3,0,7,,0,0,0,7,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,2,0,8,0,10,0,0,0,,,,,,,,,,,,
2009,Iceland,Scandinavia,English ,Yohanna,"""Is It True?"" ",? ,Female,Solo,2,218,Russia,Former Socialist Bloc,Away,Away,33,6,8,5,,0,2,0,0,5,2,5,2,10,8,10,0,,7,4,7,,12,10,8,8,2,12,3,,5,7,12,1,8,10,3,,0,,6,5,0,10,5,2,0,8,,,,,,,,,,,,
2009,Greece,Western Europe,English ,Sakis Rouvas ,"""This Is Our Night"" ",? ,Male,Solo,7,120,Russia,Former Socialist Bloc,Away,Away,9,12,0,10,,0,5,5,5,12,7,12,0,0,0,0,0,,6,,4,0,0,0,0,0,0,7,0,,2,1,0,0,0,8,4,,6,,0,4,1,2,2,0,0,5,,,,,,,,,,,,
2009,Armenia,Former Socialist Bloc,"English, Armenian ",Inga and Anush ,"""Jan Jan""",My dear ,Female,Group,10,92,Russia,Former Socialist Bloc,Away,Home,129,0,0,,,0,1,7,0,6,0,4,12,0,0,1,6,,0,0,0,5,0,8,0,0,1,0,0,,0,5,0,2,4,7,5,,0,,3,0,4,3,0,6,2,0,,,,,,,,,,,,
2009,Russia,Former Socialist Bloc,"Russian, Ukrainian ",Anastasiya Prikhodko ,"""Mamo""",Mother ,Female,Solo,11,91,Russia,Former Socialist Bloc,Home,Home,125,0,0,12,,6,8,0,0,0,0,1,8,0,10,0,0,,5,0,0,0,0,7,6,7,0,0,6,,0,0,0,3,0,0,,,0,,0,0,0,0,0,4,8,0,,,,,,,,,,,,
2009,Azerbaijan,Former Socialist Bloc,English ,AySel and Arash ,"""Always"" ",? ,Both,Group,?3,207,Russia,Former Socialist Bloc,Away,Home,12,4,0,1,,,10,3,3,8,10,8,10,8,7,2,1,,0,8,10,0,0,6,4,5,3,1,10,,6,10,10,6,0,4,7,,4,,4,1,0,8,0,12,10,3,,,,,,,,,,,,
2009,Bosnia and Herzegovina,Former Yugoslavia,Bosnian,Regina ,"""Bistra voda"" ",Clear water ,Male,Group,?9,106,Russia,Former Socialist Bloc,Away,Away,25,5,0,0,,2,0,0,,4,12,0,0,0,0,6,0,,2,0,0,2,0,0,0,0,10,0,0,,12,4,0,0,0,0,0,,12,,8,10,0,5,4,8,0,0,,,,,,,,,,,,
2009,Moldova,Former Socialist Bloc,"Romanian, English ",Nelly Ciobanu ,"""Hora din Moldova"" ",Dance from Moldova ,Female,Solo,14,69,Russia,Former Socialist Bloc,Away,Home,261,0,0,2,,7,0,4,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,,0,0,3,5,12,12,1,,0,,0,0,5,0,0,7,7,0,,,,,,,,,,,,
2009,Malta,Western Europe,English ,Chiara ,"""What If We"" ",? ,Female,Solo,22,31,Russia,Former Socialist Bloc,Away,Away,57,0,1,0,,0,0,0,0,0,0,0,0,0,0,3,0,,4,0,0,0,5,0,1,1,0,,0,,0,0,0,0,0,3,0,,7,,0,0,0,0,0,0,0,6,,,,,,,,,,,,
